File;Sample;Sample ID;Parameter, Goal;Value;ESD
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t01.lst;Cal_t01;Cal_t01;QCalcite;1;0
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t01.lst;Cal_t01;Cal_t01;Rwp;37.3900;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t01.lst;Cal_t01;Cal_t01;Rexp;35.0300;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t01.lst;Cal_t01;Cal_t01;Chi2;1.1393;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t01.lst;Cal_t01;Cal_t01;GOF;1.0674;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t02.lst;Cal_t02;Cal_t02;QCalcite;1;0
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t02.lst;Cal_t02;Cal_t02;Rwp;26.6200;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t02.lst;Cal_t02;Cal_t02;Rexp;24.2900;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t02.lst;Cal_t02;Cal_t02;Chi2;1.2010;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t02.lst;Cal_t02;Cal_t02;GOF;1.0959;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t05.lst;Cal_t05;Cal_t05;QCalcite;1;0
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t05.lst;Cal_t05;Cal_t05;Rwp;17.3200;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t05.lst;Cal_t05;Cal_t05;Rexp;15.3400;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t05.lst;Cal_t05;Cal_t05;Chi2;1.2748;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t05.lst;Cal_t05;Cal_t05;GOF;1.1291;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t10.lst;Cal_t10;Cal_t10;QCalcite;1;0
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t10.lst;Cal_t10;Cal_t10;Rwp;12.6800;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t10.lst;Cal_t10;Cal_t10;Rexp;11.0400;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t10.lst;Cal_t10;Cal_t10;Chi2;1.3192;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t10.lst;Cal_t10;Cal_t10;GOF;1.1486;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t15.lst;Cal_t15;Cal_t15;QCalcite;1;0
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t15.lst;Cal_t15;Cal_t15;Rwp;12.8000;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t15.lst;Cal_t15;Cal_t15;Rexp;11.0600;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t15.lst;Cal_t15;Cal_t15;Chi2;1.3394;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t15.lst;Cal_t15;Cal_t15;GOF;1.1573;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t20.lst;Cal_t20;Cal_t20;QCalcite;1;0
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t20.lst;Cal_t20;Cal_t20;Rwp;9.9100;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t20.lst;Cal_t20;Cal_t20;Rexp;8.0300;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t20.lst;Cal_t20;Cal_t20;Chi2;1.5231;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t20.lst;Cal_t20;Cal_t20;GOF;1.2341;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t25.lst;Cal_t25;Cal_t25;QCalcite;1;0
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t25.lst;Cal_t25;Cal_t25;Rwp;8.8900;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t25.lst;Cal_t25;Cal_t25;Rexp;7.2400;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t25.lst;Cal_t25;Cal_t25;Chi2;1.5077;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t25.lst;Cal_t25;Cal_t25;GOF;1.2279;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/t50/Cal_t50.lst;Cal_t50;Cal_t50;QCalcite;1;0
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/t50/Cal_t50.lst;Cal_t50;Cal_t50;Rwp;7.0400;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/t50/Cal_t50.lst;Cal_t50;Cal_t50;Rexp;5.2400;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/t50/Cal_t50.lst;Cal_t50;Cal_t50;Chi2;1.8050;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/t50/Cal_t50.lst;Cal_t50;Cal_t50;GOF;1.3435;
