File;Sample;Sample ID;Parameter, Goal;Value;ESD
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t01.lst;Mgt_t01;Mgt_t01;Qsmectitedi2wfix;0,197;0,052
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t01.lst;Mgt_t01;Mgt_t01;QAndradite;0,083;0,018
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t01.lst;Mgt_t01;Mgt_t01;QCalcite;0,177;0,035
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t01.lst;Mgt_t01;Mgt_t01;QChlorite;0,122;0,025
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t01.lst;Mgt_t01;Mgt_t01;QMagnetite;0,25;0,03
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t01.lst;Mgt_t01;Mgt_t01;QTalc;0,171;0,023
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t01.lst;Mgt_t01;Mgt_t01;Rwp;15.1900;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t01.lst;Mgt_t01;Mgt_t01;Rexp;14.7900;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t01.lst;Mgt_t01;Mgt_t01;Chi2;1.0548;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t01.lst;Mgt_t01;Mgt_t01;GOF;1.0270;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t02.lst;Mgt_t02;Mgt_t02;Qsmectitedi2wfix;0,177;0,039
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t02.lst;Mgt_t02;Mgt_t02;QAndradite;0,052;0,013
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t02.lst;Mgt_t02;Mgt_t02;QCalcite;0,202;0,029
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t02.lst;Mgt_t02;Mgt_t02;QChlorite;0,142;0,029
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t02.lst;Mgt_t02;Mgt_t02;QMagnetite;0,281;0,025
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t02.lst;Mgt_t02;Mgt_t02;QTalc;0,146;0,017
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t02.lst;Mgt_t02;Mgt_t02;Rwp;10.0600;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t02.lst;Mgt_t02;Mgt_t02;Rexp;9.9900;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t02.lst;Mgt_t02;Mgt_t02;Chi2;1.0141;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t02.lst;Mgt_t02;Mgt_t02;GOF;1.0070;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t05.lst;Mgt_t05;Mgt_t05;Qsmectitedi2wfix;0,143;0,038
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t05.lst;Mgt_t05;Mgt_t05;QAndradite;0,0506;0,0071
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t05.lst;Mgt_t05;Mgt_t05;QCalcite;0,18;0,019
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t05.lst;Mgt_t05;Mgt_t05;QChlorite;0,164;0,02
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t05.lst;Mgt_t05;Mgt_t05;QMagnetite;0,302;0,02
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t05.lst;Mgt_t05;Mgt_t05;QTalc;0,16;0,017
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t05.lst;Mgt_t05;Mgt_t05;Rwp;6.5600;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t05.lst;Mgt_t05;Mgt_t05;Rexp;6.1300;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t05.lst;Mgt_t05;Mgt_t05;Chi2;1.1452;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t05.lst;Mgt_t05;Mgt_t05;GOF;1.0701;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t10.lst;Mgt_t10;Mgt_t10;Qsmectitedi2wfix;0,181;0,04
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t10.lst;Mgt_t10;Mgt_t10;QAndradite;0,0504;0,0052
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t10.lst;Mgt_t10;Mgt_t10;QCalcite;0,181;0,015
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t10.lst;Mgt_t10;Mgt_t10;QChlorite;0,116;0,012
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t10.lst;Mgt_t10;Mgt_t10;QMagnetite;0,32;0,019
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t10.lst;Mgt_t10;Mgt_t10;QTalc;0,152;0,012
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t10.lst;Mgt_t10;Mgt_t10;Rwp;4.7600;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t10.lst;Mgt_t10;Mgt_t10;Rexp;4.2900;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t10.lst;Mgt_t10;Mgt_t10;Chi2;1.2311;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t10.lst;Mgt_t10;Mgt_t10;GOF;1.1096;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t15.lst;Mgt_t15;Mgt_t15;Qsmectitedi2wfix;0,125;0,024
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t15.lst;Mgt_t15;Mgt_t15;QAndradite;0,0529;0,0059
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t15.lst;Mgt_t15;Mgt_t15;QCalcite;0,183;0,014
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t15.lst;Mgt_t15;Mgt_t15;QChlorite;0,154;0,014
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t15.lst;Mgt_t15;Mgt_t15;QMagnetite;0,304;0,013
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t15.lst;Mgt_t15;Mgt_t15;QTalc;0,181;0,012
