File;Sample;Sample ID;Parameter, Goal;Value;ESD
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t01.lst;Py_t01;Py_t01;QPyrite;1;0
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t01.lst;Py_t01;Py_t01;Rwp;18.3500;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t01.lst;Py_t01;Py_t01;Rexp;18.2400;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t01.lst;Py_t01;Py_t01;Chi2;1.0121;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t01.lst;Py_t01;Py_t01;GOF;1.0060;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t02.lst;Py_t02;Py_t02;QPyrite;1;0
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t02.lst;Py_t02;Py_t02;Rwp;12.7400;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t02.lst;Py_t02;Py_t02;Rexp;12.3000;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t02.lst;Py_t02;Py_t02;Chi2;1.0728;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t02.lst;Py_t02;Py_t02;GOF;1.0358;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t05.lst;Py_t05;Py_t05;QPyrite;1;0
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t05.lst;Py_t05;Py_t05;Rwp;8.0500;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t05.lst;Py_t05;Py_t05;Rexp;7.6100;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t05.lst;Py_t05;Py_t05;Chi2;1.1190;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t05.lst;Py_t05;Py_t05;GOF;1.0578;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t10.lst;Py_t10;Py_t10;QPyrite;1;0
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t10.lst;Py_t10;Py_t10;Rwp;5.9500;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t10.lst;Py_t10;Py_t10;Rexp;5.3600;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t10.lst;Py_t10;Py_t10;Chi2;1.2323;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t10.lst;Py_t10;Py_t10;GOF;1.1101;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t15.lst;Py_t15;Py_t15;QPyrite;1;0
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t15.lst;Py_t15;Py_t15;Rwp;5.8900;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t15.lst;Py_t15;Py_t15;Rexp;5.3600;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t15.lst;Py_t15;Py_t15;Chi2;1.2075;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t15.lst;Py_t15;Py_t15;GOF;1.0989;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t20.lst;Py_t20;Py_t20;QPyrite;1;0
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t20.lst;Py_t20;Py_t20;Rwp;4.6500;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t20.lst;Py_t20;Py_t20;Rexp;3.8100;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t20.lst;Py_t20;Py_t20;Chi2;1.4896;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t20.lst;Py_t20;Py_t20;GOF;1.2205;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t25.lst;Py_t25;Py_t25;QPyrite;1;0
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t25.lst;Py_t25;Py_t25;Rwp;4.3000;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t25.lst;Py_t25;Py_t25;Rexp;3.4200;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t25.lst;Py_t25;Py_t25;Chi2;1.5808;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/Py_t25.lst;Py_t25;Py_t25;GOF;1.2573;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/t50/Py_t50.lst;Py_t50;Py_t50;QPyrite;1;0
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/t50/Py_t50.lst;Py_t50;Py_t50;Rwp;3.5600;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/t50/Py_t50.lst;Py_t50;Py_t50;Rexp;2.4600;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/t50/Py_t50.lst;Py_t50;Py_t50;Chi2;2.0943;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Py/t50/Py_t50.lst;Py_t50;Py_t50;GOF;1.4472;
