File;Sample;Sample ID;Parameter, Goal;Value;ESD
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t01.lst;Qz_t01;Qz_t01;QQuartz;1;0
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t01.lst;Qz_t01;Qz_t01;Rwp;29.5600;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t01.lst;Qz_t01;Qz_t01;Rexp;27.4100;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t01.lst;Qz_t01;Qz_t01;Chi2;1.1630;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t01.lst;Qz_t01;Qz_t01;GOF;1.0784;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t02.lst;Qz_t02;Qz_t02;QQuartz;1;0
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t02.lst;Qz_t02;Qz_t02;Rwp;20.5700;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t02.lst;Qz_t02;Qz_t02;Rexp;18.8600;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t02.lst;Qz_t02;Qz_t02;Chi2;1.1896;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t02.lst;Qz_t02;Qz_t02;GOF;1.0907;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t05.lst;Qz_t05;Qz_t05;QQuartz;1;0
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t05.lst;Qz_t05;Qz_t05;Rwp;13.6900;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t05.lst;Qz_t05;Qz_t05;Rexp;12.1400;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t05.lst;Qz_t05;Qz_t05;Chi2;1.2717;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t05.lst;Qz_t05;Qz_t05;GOF;1.1277;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t10.lst;Qz_t10;Qz_t10;QQuartz;1;0
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t10.lst;Qz_t10;Qz_t10;Rwp;10.6600;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t10.lst;Qz_t10;Qz_t10;Rexp;8.8300;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t10.lst;Qz_t10;Qz_t10;Chi2;1.4574;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t10.lst;Qz_t10;Qz_t10;GOF;1.2072;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t15.lst;Qz_t15;Qz_t15;QQuartz;1;0
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t15.lst;Qz_t15;Qz_t15;Rwp;10.7700;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t15.lst;Qz_t15;Qz_t15;Rexp;8.8500;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t15.lst;Qz_t15;Qz_t15;Chi2;1.4810;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t15.lst;Qz_t15;Qz_t15;GOF;1.2169;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t20.lst;Qz_t20;Qz_t20;QQuartz;1;0
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t20.lst;Qz_t20;Qz_t20;Rwp;8.6800;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t20.lst;Qz_t20;Qz_t20;Rexp;6.4500;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t20.lst;Qz_t20;Qz_t20;Chi2;1.8110;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t20.lst;Qz_t20;Qz_t20;GOF;1.3457;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t25.lst;Qz_t25;Qz_t25;QQuartz;1;0
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t25.lst;Qz_t25;Qz_t25;Rwp;8.0500;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t25.lst;Qz_t25;Qz_t25;Rexp;5.8400;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t25.lst;Qz_t25;Qz_t25;Chi2;1.9001;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/Qz_t25.lst;Qz_t25;Qz_t25;GOF;1.3784;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/t50/Qz_t50.lst;Qz_t50;Qz_t50;QQuartz;1;0
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/t50/Qz_t50.lst;Qz_t50;Qz_t50;Rwp;6.9800;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/t50/Qz_t50.lst;Qz_t50;Qz_t50;Rexp;4.2900;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/t50/Qz_t50.lst;Qz_t50;Qz_t50;Chi2;2.6473;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/t50/Qz_t50.lst;Qz_t50;Qz_t50;GOF;1.6270;
